timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2017-08-17 04:00:00,4261.48,4280.56,4261.32,4261.45,11.308926,2017-08-17 04:29:59.999,48224.75400837,49,3.936174,16793.03995768,0
2017-08-17 04:30:00,4280.0,4313.62,4267.99,4308.83,35.872083,2017-08-17 04:59:59.999,154141.38438467,122,31.224329,134159.43798536,0
2017-08-17 05:00:00,4308.83,4328.69,4304.31,4320.0,21.048648,2017-08-17 05:29:59.999,90864.29252042,73,19.39657,83746.08374208,0
2017-08-17 05:30:00,4320.0,4320.0,4291.37,4315.32,2.186268,2017-08-17 05:59:59.999,9440.53104707,29,2.051501,8862.19598628,0
2017-08-17 06:00:00,4330.29,4330.29,4309.37,4311.02,3.566277,2017-08-17 06:29:59.999,15409.76133301,14,2.302077,9951.67338501,0
2017-08-17 06:30:00,4328.65,4345.45,4319.83,4324.35,3.663414,2017-08-17 06:59:59.999,15872.55133688,22,2.500784,10843.64383904,0
2017-08-17 07:00:00,4316.62,4316.62,4291.38,4291.38,0.040459,2017-08-17 07:29:59.999,173.66383826,2,0.001541,6.65191142,0
2017-08-17 07:30:00,4291.39,4349.99,4287.41,4349.99,4.40279,2017-08-17 07:59:59.999,19067.3944616,23,2.600751,11284.69510392,0
2017-08-17 08:00:00,4333.32,4377.85,4333.32,4360.7,0.84226,2017-08-17 08:29:59.999,3670.27287368,18,0.70126,3058.2988252,0
2017-08-17 08:30:00,4360.7,4360.7,4360.0,4360.69,0.130547,2017-08-17 08:59:59.999,569.23071195,10,0.113395,494.44799195,0
2017-08-17 09:00:00,4360.0,4360.0,4360.0,4360.0,2.295001,2017-08-17 09:29:59.999,10006.20436,10,2.295001,10006.20436,0
2017-08-17 09:30:00,4360.0,4445.78,4360.0,4444.0,8.468622,2017-08-17 09:59:59.999,37213.15158369,33,7.963399,34989.17379745,0
2017-08-17 10:00:00,4441.1,4443.0,4399.81,4440.0,5.274331,2017-08-17 10:29:59.999,23266.21322713,21,3.823071,16831.59568082,0
2017-08-17 10:30:00,4400.0,4470.0,4400.0,4460.0,19.591068,2017-08-17 10:59:59.999,87024.51576079,61,17.875622,79394.3773732,0
2017-08-17 11:00:00,4460.0,4485.39,4454.72,4485.39,24.929329,2017-08-17 11:29:59.999,111450.486292,57,24.085497,107680.91119448,0
2017-08-17 11:30:00,4485.39,4485.39,4427.3,4427.3,2.088724,2017-08-17 11:59:59.999,9301.08294041,38,1.930388,8599.04193085,0
2017-08-17 12:00:00,4436.06,4449.56,4418.12,4418.12,21.095547,2017-08-17 12:29:59.999,93561.46438875,77,14.274611,63351.50359499,0
2017-08-17 12:30:00,4417.0,4431.13,4411.0,4411.0,1.936851,2017-08-17 12:59:59.999,8565.05419663,31,1.038383,4596.33048663,0
2017-08-17 13:00:00,4411.0,4445.88,4411.0,4440.0,3.718318,2017-08-17 13:29:59.999,16460.29385437,24,3.345894,14815.39474749,0
2017-08-17 13:30:00,4435.12,4459.0,4425.21,4459.0,27.594118,2017-08-17 13:59:59.999,122516.34558088,94,23.218148,103095.0808524,0
2017-08-17 14:00:00,4459.0,4469.46,4435.93,4467.81,21.648809,2017-08-17 14:29:59.999,96457.96861377,104,16.471989,73372.1853136,0
2017-08-17 14:30:00,4467.81,4485.39,4452.57,4470.82,30.087088,2017-08-17 14:59:59.999,134413.48475218,130,22.335194,99719.93148623,0
2017-08-17 15:00:00,4470.82,4470.82,4412.1,4432.2,22.594839,2017-08-17 15:29:59.999,100628.76481133,161,14.241994,63532.36841658,0
2017-08-17 15:30:00,4432.2,4444.9,4333.42,4352.34,45.886431,2017-08-17 15:59:59.999,201635.42211935,237,30.25792,132936.96316318,0
2017-08-17 16:00:00,4352.33,4354.35,4255.3,4290.17,53.209948,2017-08-17 16:29:59.999,229122.30671638,299,27.849301,120164.54692633,0
2017-08-17 16:30:00,4290.17,4354.18,4290.17,4354.18,14.248843,2017-08-17 16:59:59.999,61501.14376663,99,11.177436,48253.82245068,0
2017-08-17 17:00:00,4354.18,4354.84,4301.5,4335.28,21.401496,2017-08-17 17:29:59.999,92646.66631555,87,16.412197,70993.86161015,0
2017-08-17 17:30:00,4335.28,4354.84,4235.45,4289.24,38.263416,2017-08-17 17:59:59.999,164239.68627424,105,22.555337,97269.80621253,0
2017-08-17 18:00:00,4289.24,4302.45,4218.68,4287.69,24.946195,2017-08-17 18:29:59.999,106195.82594867,96,22.988674,97859.2680702,0
2017-08-17 18:30:00,4287.69,4302.45,4222.97,4256.97,26.328968,2017-08-17 18:59:59.999,112063.53287137,98,22.042563,93795.91349943,0
2017-08-17 19:00:00,4241.91,4302.44,4200.74,4287.61,33.16595,2017-08-17 19:29:59.999,141052.757739,102,30.107963,128059.38993341,0
2017-08-17 19:30:00,4287.61,4335.3,4287.61,4325.23,13.5449,2017-08-17 19:59:59.999,58469.17917182,100,11.902892,51411.59221881,0
2017-08-17 20:00:00,4307.56,4325.23,4261.0,4273.16,26.16558,2017-08-17 20:29:59.999,112388.25626095,119,22.810409,97928.42717796,0
2017-08-17 20:30:00,4258.56,4354.84,4258.56,4346.74,22.809892,2017-08-17 20:59:59.999,98160.62466212,128,20.072727,86382.87831872,0
