id,entry_price,entry_time,exit_price,exit_time,quantity,dte,strike,delta,qsci,pnl,status
1,657.4547,2025-12-02T23:09:00.985396,990.613925,2025-12-02T23:09:02.870114,2,14,18784.42,0.5,0.4258017941361179,666.31845,CLOSED
2,674.1238000000001,2025-12-02T23:09:01.052691,1019.04425,2025-12-02T23:09:02.885474,2,14,19260.68,0.5,0.28147961507127833,689.8408999999999,CLOSED
3,681.7895000000001,2025-12-02T23:09:01.120026,1022.8771,2025-12-02T23:09:02.885614,2,14,19479.7,0.5,0.37755388359402886,682.1751999999999,CLOSED
5,1407.40565,2025-12-02T23:09:03.085807,982.3519999999999,2025-12-02T23:15:21.037649,2,14,40211.59,0.5,0.5835220488719833,-850.1073000000001,CLOSED
7,584.92245,2025-12-02T23:15:36.999193,888.539225,2025-12-02T23:23:06.852823,2,14,16712.07,0.5,0.37379664355164494,607.2335499999999,CLOSED
8,1189.97865,2025-12-02T23:23:08.478827,1789.2892500000003,2025-12-02T23:26:54.075341,2,14,33999.39,0.5,0.5202132195595153,1198.6212000000005,CLOSED
6,1296.57955,2025-12-02T23:09:03.607396,1949.38905,2025-12-02T23:35:01.073962,2,14,37045.13,0.5,0.47572635485488624,1305.6190000000001,CLOSED
4,1342.1485,2025-12-02T23:09:02.943141,2017.0444000000002,2025-12-02T23:35:07.212315,2,14,38347.1,0.5,0.7210008139629568,1349.7918000000004,CLOSED
9,2383.9879,2025-12-02T23:26:54.380957,2877.8870750000006,2025-12-02T23:35:56.594108,2,14,68113.94,0.5,0.8663181365785448,987.7983500000009,CLOSED
10,2626.68035,2025-12-02T23:35:03.348623,2999.2333,2025-12-02T23:35:56.594255,2,14,75048.01,0.5,0.4530278725268925,745.1058999999996,CLOSED
11,2671.9514500000005,2025-12-02T23:35:08.014575,3021.8688500000007,2025-12-02T23:35:56.594306,2,14,76341.47,0.5,0.21699286429201964,699.8348000000005,CLOSED
