id,option_type,entry_price,entry_time,exit_price,exit_time,quantity,dte,strike,delta,qsci,implied_vol,pnl,pnl_after_fees,total_fees_paid,rolled_count,status,multi_tf_score,sentiment_score,regime,trade_return
1,PUT,30.21784242092133,2017-08-21T13:00:00,25.087988778680856,2025-12-06T11:38:53.941972,10,13.833333333333334,3800,-0.18602249559215278,-0.37044615950894966,0.29214020773358707,-51.29853642240473,-56.74054490123466,5.442008478829924,0,CLOSED,-0.20549951828121094,-0.3370133146634911,train,-0.18777166189056016
2,PUT,87.40674297170631,2017-08-22T01:00:00,45.207349317301976,2025-12-06T11:38:53.943922,3,13.833333333333334,3600,-0.21495355649385517,-0.4459807592113315,0.46752812235348773,-126.598180963213,-130.85509332569018,4.256912362477166,0,CLOSED,-0.3231892531284761,-0.15678976213918483,train,-0.4990274543923465
3,CALL,119.07887939725492,2017-08-23T01:00:00,110.11118170689178,2025-12-06T11:38:53.946447,1,13.833333333333334,4200,0.40748569609324575,0.30032975686676844,0.49986382615785957,-8.967697690363138,-11.420031344177508,2.4523336538143696,0,CLOSED,0.18699868672174416,0.39020111060190565,train,-0.09590308039496691
4,CALL,103.41234658084113,2017-08-23T10:00:00,94.84029867831464,2025-12-06T11:38:53.947638,3,13.666666666666668,4300,0.41717710846866507,0.4245399674123356,0.4010993018544597,-25.716143707579477,-32.080053620398374,6.363909912818901,0,CLOSED,0.31394070100830485,0.39266237778645785,train,-0.10340497590817246
5,CALL,54.973380222549395,2017-08-24T10:00:00,62.85184449578401,2025-12-06T11:38:53.950259,5,13.833333333333334,4300,0.36807238199906156,0.2394316458747243,0.3142499590521862,39.392321366173064,33.21341373026269,6.178907635910379,0,CLOSED,0.17643611369553447,0.23205327080523186,train,0.12083453335343187
6,CALL,63.901800664722714,2017-08-24T16:00:00,53.53619165378086,2025-12-06T11:38:53.951284,4,13.833333333333334,4300,0.33991407311686567,0.32174347009635396,0.2996927813094686,-41.46243604376741,-46.196924560074315,4.734488516306905,0,CLOSED,0.23142701504919982,0.34064597127576735,train,-0.18073404849128744
7,CALL,66.01440167458554,2017-08-24T22:00:00,62.05713699593689,2025-12-06T11:38:53.952296,4,13.833333333333334,4400,0.3799533381468976,0.32337064325934434,0.28797963186491704,-15.829058714594623,-20.818144862632494,4.989086148037872,0,CLOSED,0.26616666701724895,0.25290466833745334,train,-0.07883940600285383
8,CALL,59.27219269856846,2017-08-25T07:00:00,61.914678821912275,2025-12-06T11:38:53.953883,5,13.666666666666668,4400,0.4123015406595704,0.29878479958211535,0.254336965196206,13.212430616719075,7.935843796940885,5.27658681977819,0,CLOSED,0.20606817845156564,0.38369957504043495,train,0.026777628549357013
9,CALL,37.13404868150997,2017-08-25T16:00:00,27.441827215291113,2025-12-06T11:38:53.955250,7,13.833333333333334,4600,0.21091590351362272,0.3352584334176606,0.2685205252962145,-67.84555026353198,-71.98863612659576,4.143085863063789,0,CLOSED,0.26126590873623085,0.19274880546634654,train,-0.2769450474800689
10,CALL,40.13148533330104,2017-08-27T01:00:00,36.405371836723816,2025-12-06T11:38:53.959978,7,13.833333333333334,4500,0.2825661608116667,0.4546166314215484,0.25,-26.08279447604059,-30.448932676623023,4.366138200582432,0,CLOSED,0.26355440276979164,0.29987347082218035,train,-0.10838989609044856
11,PUT,39.845661524989964,2017-08-27T16:00:00,30.416079878411892,2025-12-06T11:38:53.962329,6,13.833333333333334,4200,-0.2389328390391139,-0.22997119331366642,0.25,-56.57748987946843,-59.80375248256237,3.226262603093941,0,CLOSED,0.1509973122325295,-0.09064071196884,train,-0.25014748655072233
12,PUT,36.20533195822122,2017-08-28T04:00:00,58.702565430787786,2025-12-06T11:38:53.964275,7,13.833333333333334,4100,-0.3626202170791767,-0.27156198868372877,0.2728818941105434,157.48063430796594,151.2577284619013,6.222905846064645,0,CLOSED,-0.2677312450411691,-0.2406783500048575,train,0.5968249910831747
13,CALL,64.44523243880008,2017-08-28T19:00:00,59.69396102894393,2025-12-06T11:38:53.966655,4,13.833333333333334,4400,0.37273707403632933,0.3291407772491609,0.2847936493242047,-19.00508563942458,-23.797382516478457,4.7922968770538805,0,CLOSED,0.19365543596961474,0.33386749040828195,train,-0.09231630337852167
14,CALL,60.196590432995436,2017-08-29T13:00:00,48.864612818238356,2025-12-06T11:38:53.969565,5,13.833333333333334,4700,0.29828347410274625,0.3709841730191109,0.30134489834075256,-56.659888073785396,-62.18011759347004,5.520229519684639,0,CLOSED,0.32206343568438345,0.2330866185290802,train,-0.20659016448010442
15,CALL,44.686004497749536,2017-08-29T19:00:00,50.568336841517294,2025-12-06T11:38:53.970744,6,13.833333333333334,4700,0.3245378912733581,0.29592963189244526,0.27537995825487366,35.293994062606544,29.935669378820513,5.358324683786028,0,CLOSED,0.25181299043407074,0.380086816075534,train,0.11165192068256377
16,CALL,54.469097344086094,2017-08-30T01:00:00,46.552993315436424,2025-12-06T11:38:53.972022,5,13.666666666666668,4700,0.3207994123169935,0.3726429105063651,0.2583027788162704,-39.58052014324835,-44.09141491255527,4.510894769306923,0,CLOSED,0.257526002955263,0.2580251955666533,train,-0.1618951554641191
17,CALL,42.170321399256636,2017-08-31T01:00:00,48.63477636462744,2025-12-06T11:38:53.974385,6,13.833333333333334,4700,0.3367579445273733,0.23853528619070224,0.25,38.78672979222483,34.38954784607592,4.39718194614891,0,CLOSED,0.2508245748440298,0.08787535343090205,train,0.13591528633168906
18,CALL,62.5362330043331,2017-08-31T10:00:00,71.91616179384619,2025-12-06T11:38:53.975430,4,13.833333333333334,4700,0.4386918748724281,0.2599692109654792,0.25,37.51971515805235,33.58258746953387,3.9371276885184807,0,CLOSED,0.21999340666459227,0.26955041551721154,train,0.13425251992395734
19,CALL,47.088897026422046,2017-08-31T16:00:00,36.41483074719895,2025-12-06T11:38:53.976188,6,13.833333333333334,4800,0.2696450634588561,0.30920949392061714,0.25,-64.04439767533859,-67.56456642910497,3.5201687537663835,0,CLOSED,0.24972089286467203,0.3606708809820847,train,-0.2391383485835094
20,CALL,51.086020832010945,2017-08-31T22:00:00,60.71502019532727,2025-12-06T11:38:53.976948,5,13.833333333333334,4800,0.3866579234865194,0.22498760412719415,0.25,48.144996816581624,44.04882356758482,4.096173248996806,0,CLOSED,0.28876789769444294,0.3034701530920591,train,0.17244961674518772
21,CALL,41.571542306670835,2017-09-01T10:00:00,45.16082952796751,2025-12-06T11:38:53.978228,7,13.833333333333334,4900,0.31032204415182024,0.3653048495428278,0.25,25.125010549076706,20.848153696922843,4.276856852153863,0,CLOSED,0.28463190134868055,0.15229462462838647,train,0.07164294384408873
22,CALL,47.496081511572356,2017-09-01T16:00:00,50.9852529212626,2025-12-06T11:38:53.979005,5,13.833333333333334,4900,0.3380619410544553,0.2641484333136306,0.25,17.445857048451217,13.681953263745001,3.7639037847062164,0,CLOSED,0.2981707518307801,0.3458725345154407,train,0.05761297702174194
23,CALL,38.09780210917506,2017-09-01T22:00:00,35.45558369842274,2025-12-06T11:38:53.979764,7,13.833333333333334,5000,0.25660433573544633,0.39706405319327664,0.25,-18.495528875266245,-22.827809948219063,4.332281072952819,0,CLOSED,0.24811603139612046,0.2490052128832245,train,-0.08559852606570881
24,CALL,136.07014703643677,2017-09-03T04:00:00,125.6582635848556,2025-12-06T11:38:53.982866,1,13.833333333333334,4800,0.41190407022261627,0.2005045500578753,0.49005971867253806,-10.411883451581161,-13.21237744522899,2.8004939936478284,0,CLOSED,0.21835898626869085,0.2403061365771782,train,-0.09709975136347129
25,PUT,128.60598772668936,2017-09-03T13:00:00,91.59750855755942,2025-12-06T11:38:53.984046,1,13.833333333333334,4200,-0.3038122865338859,-0.2672739696547286,0.5227057848073564,-37.00847916912994,-39.364656579371406,2.356177410241462,0,CLOSED,-0.2175648107022888,-0.2020569830290053,train,-0.3060872769239043
26,PUT,96.2249039227147,2017-09-04T01:00:00,119.23319268104024,2025-12-06T11:38:53.985478,2,13.666666666666668,4300,-0.43520914453059933,-0.2916047700586447,0.4189579053454581,46.01657751665107,41.40577424933071,4.610803267320356,0,CLOSED,-0.26338291752442566,0.18677191402887472,train,0.2151510293145459
